employee_id,department,level,tenure_years,salary,performance_tier,flight_risk_score,ai_displacement_score,skills,manager_id,employment_type,location
EMP10045,Finance & Risk,Manager,4.4,117609,Top,0.34,0.59,"Cloud Computing, Project Management",EMP8612,FTE,Remote
EMP10046,Compliance & Legal,VP,4.0,314023,Exceeds,0.23,0.3,"Cloud Computing, Stakeholder Communication, Excel Advanced, Agile, Financial Modelling",EMP8373,FTE,Toronto
EMP10047,Human Resources,Senior Manager,3.5,167951,Meets,0.34,0.32,"Compliance, Cloud Computing, Python",EMP5681,FTE,Toronto
EMP10048,Strategy & Analytics,Analyst,1.7,71897,Developing,0.57,0.39,"Project Management, Risk Assessment, Python, Natural Language Processing, Agile",EMP6421,FTE,Vancouver
EMP10049,Operations,Senior Analyst,5.4,90723,Top,0.37,0.79,"Change Management, Natural Language Processing",EMP1096,Contract,Toronto
EMP10050,Operations,Director,7.4,219525,Exceeds,0.14,0.65,"Natural Language Processing, Financial Modelling, Project Management",EMP8140,FTE,Vancouver
EMP10051,Human Resources,Senior Manager,12.0,165044,Exceeds,0.77,0.38,"Project Management, Data Analysis, Cloud Computing, Risk Assessment, Process Automation",EMP1444,FTE,Vancouver
EMP10052,Strategy & Analytics,Analyst,7.9,61400,Meets,0.37,0.27,"Risk Assessment, Cloud Computing, Stakeholder Communication, Natural Language Processing",EMP7211,FTE,Remote
EMP10053,Finance & Risk,Senior Manager,3.8,157114,Meets,0.06,0.7,"Excel Advanced, Financial Modelling",EMP2124,FTE,Montreal
EMP10054,Customer Experience,VP,7.0,229120,Developing,0.36,0.5,"Project Management, Financial Modelling",EMP3068,FTE,Toronto
EMP10055,Sales & Distribution,Senior Analyst,9.8,83772,Meets,0.24,0.49,"Stakeholder Communication, Machine Learning, Change Management, Agile",EMP3683,Contract,Toronto
EMP10056,Technology,Senior Analyst,7.8,92656,Exceeds,0.66,0.18,"Change Management, Risk Assessment, Python, Process Automation, Excel Advanced",EMP4978,FTE,Calgary
EMP10057,Strategy & Analytics,Manager,13.2,134510,Developing,0.1,0.05,"Excel Advanced, Agile",EMP7071,FTE,Montreal
EMP10058,Technology,Senior Analyst,10.7,77779,Meets,0.5,0.32,"Excel Advanced, Cloud Computing, Strategic Planning, SQL, Risk Assessment",EMP3885,FTE,Remote
EMP10059,Operations,Senior Manager,0.6,139113,Meets,0.6,0.55,"Cloud Computing, Agile, Natural Language Processing, Excel Advanced, Process Automation",EMP5397,FTE,Toronto
EMP10060,Sales & Distribution,Analyst,9.1,59471,Meets,0.13,0.54,"Change Management, Power BI, Data Analysis, Financial Modelling, Stakeholder Communication",EMP3979,FTE,Vancouver
EMP10061,Operations,Analyst,3.6,74386,Meets,0.54,0.86,"Data Analysis, Risk Assessment, Python, Machine Learning",EMP7658,FTE,Calgary
EMP10062,Human Resources,Manager,10.4,101590,Meets,0.32,0.28,"SQL, Process Automation",EMP4630,FTE,Toronto
EMP10063,Human Resources,Senior Analyst,0.9,86592,Meets,1.0,0.42,"Agile, Power BI, Stakeholder Communication, Excel Advanced",EMP8434,FTE,Toronto
EMP10064,Technology,Analyst,5.2,58252,Developing,0.05,0.49,"Risk Assessment, Strategic Planning, Excel Advanced",EMP8933,FTE,Montreal
EMP10065,Customer Experience,Manager,19.6,105264,Top,0.24,0.57,"Process Automation, Financial Modelling, Stakeholder Communication",EMP3939,FTE,Montreal
EMP10066,Technology,Analyst,8.2,64373,Developing,0.09,0.35,"Project Management, Natural Language Processing, Python, Agile",EMP1200,FTE,Vancouver
EMP10067,Finance & Risk,Analyst,6.6,73895,Developing,0.3,0.42,"Machine Learning, SQL, Risk Assessment, Financial Modelling, Python",EMP1878,FTE,Calgary
EMP10068,Sales & Distribution,Analyst,13.9,67123,Meets,0.51,0.58,"Financial Modelling, Change Management, Strategic Planning, Cloud Computing, Project Management",EMP8025,FTE,Montreal
EMP10069,Compliance & Legal,Senior Manager,3.3,162031,Top,0.21,0.59,"Risk Assessment, Compliance, Power BI",EMP2330,FTE,Toronto
EMP10070,Technology,Analyst,9.4,63069,Meets,0.24,0.48,"Process Automation, Python, Machine Learning, Project Management, Excel Advanced",EMP5632,FTE,Vancouver
EMP10071,Human Resources,Director,2.2,191873,Exceeds,0.07,0.12,"Agile, Machine Learning, Compliance",EMP4683,FTE,Remote
EMP10072,Customer Experience,Analyst,2.3,67441,Developing,0.06,0.33,"Process Automation, Cloud Computing, Python, Financial Modelling",EMP5982,FTE,Remote
EMP10073,Finance & Risk,Senior Analyst,4.5,81003,Developing,0.37,0.67,"Agile, Power BI",EMP5102,FTE,Toronto
EMP10074,Human Resources,Director,10.2,193698,Meets,0.11,0.32,"Compliance, Python",EMP3870,FTE,Montreal
EMP10075,Sales & Distribution,Analyst,0.9,56774,Meets,0.44,0.52,"SQL, Natural Language Processing, Stakeholder Communication, Risk Assessment, Cloud Computing",EMP6260,FTE,Remote
EMP10076,Operations,Manager,3.2,124163,Meets,0.15,0.71,"Python, Cloud Computing, Strategic Planning, Stakeholder Communication, Project Management",EMP6296,FTE,Calgary
EMP10077,Strategy & Analytics,Senior Manager,7.4,161189,Low,0.28,0.14,"Agile, Python, Machine Learning, Compliance, Stakeholder Communication",EMP9167,FTE,Calgary
EMP10078,Operations,Manager,4.3,112911,Top,0.75,0.79,"Natural Language Processing, Machine Learning, Data Analysis, Power BI, Process Automation",EMP4920,FTE,Toronto
EMP10079,Technology,Senior Analyst,3.2,88302,Meets,0.19,0.06,"Cloud Computing, Machine Learning",EMP3522,FTE,Montreal
EMP10080,Finance & Risk,Analyst,1.4,62545,Exceeds,0.59,0.81,"Financial Modelling, Cloud Computing, Compliance, SQL, Risk Assessment",EMP4122,Contract,Vancouver
EMP10081,Strategy & Analytics,Director,7.0,194922,Meets,0.21,0.41,"Power BI, Compliance, Agile, Data Analysis, Project Management",EMP5891,FTE,Montreal
EMP10082,Human Resources,Director,2.5,176379,Meets,0.25,0.21,"Excel Advanced, Power BI, Compliance, Change Management, Cloud Computing",EMP7180,FTE,Toronto
EMP10083,Operations,Manager,0.5,105350,Meets,0.63,0.67,"Agile, Python, Stakeholder Communication",EMP8749,FTE,Calgary
EMP10084,Operations,Manager,0.9,131386,Exceeds,0.8,0.69,"Natural Language Processing, Python, SQL",EMP9229,Contract,Toronto
EMP10085,Technology,Senior Manager,15.7,165292,Developing,0.19,0.29,"Data Analysis, Project Management, Risk Assessment, Agile, Power BI",EMP3529,FTE,Calgary
EMP10086,Operations,Manager,11.9,119486,Meets,0.05,0.63,"Power BI, Change Management",EMP6188,FTE,Remote
EMP10087,Finance & Risk,Manager,3.2,108484,Meets,0.11,0.71,"Process Automation, Financial Modelling, Excel Advanced",EMP2480,FTE,Toronto
EMP10088,Human Resources,Director,0.8,194057,Meets,0.27,0.5,"Data Analysis, Python, Stakeholder Communication, Change Management",EMP1919,FTE,Vancouver
EMP10089,Technology,Manager,1.3,123852,Meets,0.38,0.64,"Stakeholder Communication, Strategic Planning, Python",EMP7267,FTE,Toronto
EMP10090,Sales & Distribution,Analyst,1.9,73590,Meets,0.62,0.55,"Cloud Computing, Compliance, Power BI, Data Analysis",EMP8622,Contract,Montreal
EMP10091,Technology,Senior Analyst,3.8,96045,Meets,0.3,0.42,"Agile, Compliance, Financial Modelling, Strategic Planning",EMP5949,FTE,Vancouver
EMP10092,Finance & Risk,Analyst,0.8,71291,Meets,0.26,0.75,"Process Automation, Data Analysis, Agile, Power BI",EMP7484,FTE,Montreal
EMP10093,Human Resources,Senior Manager,2.6,148193,Low,0.14,0.28,"Process Automation, Financial Modelling, Strategic Planning, Change Management, Stakeholder Communication",EMP4588,FTE,Montreal
EMP10094,Human Resources,Senior Manager,1.2,166485,Exceeds,1.0,0.2,"Machine Learning, Python, Project Management",EMP8222,FTE,Vancouver
EMP10095,Technology,Director,0.7,209701,Meets,0.54,0.36,"Stakeholder Communication, Risk Assessment, SQL, Change Management, Compliance",EMP6994,FTE,Remote
EMP10096,Customer Experience,Analyst,0.7,61234,Exceeds,1.0,0.64,"Process Automation, Power BI, Change Management, Python, Financial Modelling",EMP2233,FTE,Remote
EMP10097,Strategy & Analytics,Senior Manager,1.9,163744,Top,0.47,0.24,"SQL, Change Management, Data Analysis, Project Management",EMP9791,FTE,Vancouver
EMP10098,Customer Experience,Analyst,1.2,69445,Meets,0.43,0.49,"Machine Learning, Financial Modelling, Natural Language Processing, Data Analysis",EMP6374,Contract,Toronto
EMP10099,Technology,Senior Manager,0.9,166795,Top,0.33,0.07,"Agile, Machine Learning, SQL, Data Analysis",EMP1609,FTE,Vancouver
EMP10100,Technology,Director,0.7,199311,Developing,0.95,0.36,"Excel Advanced, Agile, Process Automation, Strategic Planning, Natural Language Processing",EMP3531,Contract,Montreal
EMP10101,Customer Experience,Manager,5.4,132287,Top,0.49,0.44,"Python, Excel Advanced, Machine Learning, Financial Modelling",EMP8285,Contract,Remote
EMP10102,Technology,Manager,2.5,125775,Meets,0.14,0.36,"Python, Change Management, Project Management, Machine Learning",EMP3001,Contract,Calgary
EMP10103,Technology,Analyst,4.0,62980,Meets,0.32,0.28,"Python, Power BI",EMP4990,Contract,Calgary
EMP10104,Operations,Senior Manager,1.8,148935,Meets,0.61,0.68,"Financial Modelling, Power BI, Change Management",EMP3417,FTE,Montreal
EMP10105,Operations,VP,1.1,265243,Top,1.0,0.56,"Stakeholder Communication, Machine Learning, Power BI, Agile",EMP1422,FTE,Vancouver
EMP10106,Customer Experience,Manager,11.1,112683,Low,0.42,0.55,"Python, Project Management, Excel Advanced, Risk Assessment",EMP9619,FTE,Toronto
EMP10107,Finance & Risk,Senior Analyst,0.4,99921,Meets,0.25,0.63,"Strategic Planning, Financial Modelling, Process Automation, Data Analysis, Excel Advanced",EMP9543,FTE,Montreal
EMP10108,Technology,C-Suite,1.1,571455,Exceeds,0.5,0.26,"Machine Learning, Natural Language Processing, Excel Advanced, Financial Modelling, Python",,Contract,Toronto
EMP10109,Technology,Analyst,6.7,64065,Meets,0.55,0.2,"Change Management, Process Automation, Financial Modelling, Compliance",EMP8048,FTE,Montreal
EMP10110,Strategy & Analytics,Manager,0.8,106367,Exceeds,0.27,0.4,"Agile, Cloud Computing, Natural Language Processing",EMP4743,FTE,Calgary
EMP10111,Operations,Senior Manager,0.1,142769,Meets,0.71,0.7,"Compliance, Excel Advanced, SQL, Power BI",EMP8770,FTE,Calgary
EMP10112,Technology,Analyst,4.8,59763,Exceeds,0.36,0.31,"Python, Power BI, Natural Language Processing",EMP3002,FTE,Remote
EMP10113,Sales & Distribution,Senior Analyst,5.0,80124,Top,0.92,0.75,"Process Automation, Strategic Planning",EMP6761,FTE,Vancouver
EMP10114,Technology,Senior Analyst,7.7,83545,Exceeds,0.41,0.2,"Excel Advanced, Machine Learning, Change Management, Project Management",EMP4705,FTE,Calgary
EMP10115,Sales & Distribution,Senior Manager,3.6,150264,Meets,0.42,0.54,"Compliance, Data Analysis",EMP3955,FTE,Calgary
EMP10116,Sales & Distribution,Senior Analyst,2.5,75561,Developing,0.53,0.56,"Change Management, SQL, Natural Language Processing",EMP1502,FTE,Vancouver
EMP10117,Operations,Senior Analyst,18.7,88142,Developing,0.42,0.79,"Power BI, SQL, Cloud Computing, Data Analysis",EMP3549,FTE,Montreal
EMP10118,Human Resources,Analyst,4.7,71594,Exceeds,0.31,0.16,"Cloud Computing, Agile, Project Management, Machine Learning, Change Management",EMP9394,FTE,Vancouver
EMP10119,Operations,Manager,3.3,101643,Meets,0.11,0.74,"Python, Financial Modelling, Risk Assessment, Process Automation",EMP1897,FTE,Toronto
EMP10120,Operations,Analyst,1.3,62785,Meets,0.39,0.61,"Machine Learning, Data Analysis, Financial Modelling, Excel Advanced",EMP8055,FTE,Vancouver
EMP10121,Customer Experience,Senior Analyst,4.9,98420,Exceeds,0.79,0.4,"SQL, Change Management, Agile, Excel Advanced",EMP1693,FTE,Vancouver
EMP10122,Technology,Senior Analyst,3.1,89921,Meets,0.52,0.35,"Agile, Process Automation, Python, Risk Assessment, Data Analysis",EMP6321,FTE,Remote
EMP10123,Finance & Risk,Manager,5.2,115218,Meets,0.47,0.67,"Machine Learning, Financial Modelling, Risk Assessment, Process Automation, Cloud Computing",EMP9584,FTE,Remote
EMP10124,Customer Experience,Analyst,1.4,66804,Exceeds,0.4,0.57,"Strategic Planning, Machine Learning",EMP9693,FTE,Remote
EMP10125,Operations,Senior Manager,0.9,153966,Exceeds,0.63,0.79,"Financial Modelling, Machine Learning, SQL",EMP5193,FTE,Montreal
EMP10126,Customer Experience,Manager,5.3,129721,Developing,0.22,0.6,"Cloud Computing, Strategic Planning, Power BI, Process Automation, Natural Language Processing",EMP6295,Contract,Montreal
EMP10127,Technology,Analyst,3.8,73309,Meets,0.35,0.49,"Compliance, Python, Stakeholder Communication, Strategic Planning",EMP2215,FTE,Vancouver
EMP10128,Technology,Senior Manager,8.4,146168,Developing,0.24,0.29,"Strategic Planning, Change Management",EMP8581,FTE,Remote
EMP10129,Customer Experience,Analyst,0.6,56539,Top,0.17,0.63,"Power BI, Natural Language Processing, Compliance",EMP3471,Contract,Vancouver
EMP10130,Customer Experience,Senior Manager,7.0,146156,Top,0.05,0.69,"Strategic Planning, Stakeholder Communication",EMP1641,FTE,Vancouver
EMP10131,Finance & Risk,Manager,0.1,130453,Developing,0.59,0.76,"Process Automation, Change Management, Risk Assessment, Natural Language Processing",EMP6543,FTE,Toronto
EMP10132,Human Resources,Senior Analyst,2.3,86996,Meets,0.2,0.55,"Process Automation, Compliance, Excel Advanced, Agile, Power BI",EMP3463,FTE,Montreal
EMP10133,Technology,Senior Analyst,6.0,80969,Top,0.41,0.12,"Project Management, SQL, Strategic Planning, Compliance, Risk Assessment",EMP6381,FTE,Montreal
EMP10134,Customer Experience,Senior Manager,5.1,142638,Exceeds,0.1,0.55,"Agile, Excel Advanced",EMP1298,FTE,Toronto
EMP10135,Operations,VP,2.8,281341,Meets,0.29,0.66,"Project Management, Strategic Planning, Python",EMP5846,FTE,Toronto
EMP10136,Customer Experience,Senior Manager,0.9,162285,Exceeds,0.24,0.51,"Power BI, Project Management",EMP7172,FTE,Toronto
EMP10137,Human Resources,Manager,0.8,128554,Top,0.48,0.28,"Python, Agile, Stakeholder Communication, Power BI, Excel Advanced",EMP4891,Contract,Montreal
EMP10138,Customer Experience,Senior Manager,9.4,144296,Meets,0.26,0.62,"Process Automation, Natural Language Processing, Cloud Computing",EMP4178,FTE,Remote
EMP10139,Sales & Distribution,Senior Analyst,3.6,77174,Meets,0.1,0.44,"Strategic Planning, Agile, SQL, Natural Language Processing, Machine Learning",EMP3267,Contract,Toronto
EMP10140,Finance & Risk,Senior Analyst,1.1,92081,Top,0.59,0.75,"Process Automation, SQL",EMP3626,FTE,Remote
EMP10141,Technology,Senior Analyst,4.0,95617,Top,0.85,0.38,"Cloud Computing, Excel Advanced, Strategic Planning",EMP1436,FTE,Vancouver
EMP10142,Operations,Senior Analyst,4.8,96264,Developing,0.24,0.78,"Data Analysis, Power BI, Cloud Computing",EMP2623,FTE,Montreal
EMP10143,Customer Experience,Analyst,5.1,67372,Meets,0.14,0.54,"Project Management, Natural Language Processing, Financial Modelling, Process Automation, Data Analysis",EMP2298,FTE,Toronto
EMP10144,Technology,VP,6.1,236075,Meets,0.15,0.5,"Machine Learning, Process Automation, Strategic Planning, Project Management, Python",EMP1782,FTE,Montreal
EMP10145,Compliance & Legal,Analyst,1.5,67338,Exceeds,0.58,0.63,"Data Analysis, Financial Modelling, Excel Advanced, SQL, Project Management",EMP8032,FTE,Vancouver
EMP10146,Compliance & Legal,Analyst,0.5,70220,Exceeds,0.68,0.48,"SQL, Data Analysis, Risk Assessment, Agile",EMP8702,FTE,Vancouver
EMP10147,Operations,Senior Manager,12.1,138587,Meets,0.25,0.68,"Excel Advanced, Financial Modelling",EMP2698,FTE,Calgary
EMP10148,Operations,Analyst,3.9,61917,Meets,0.35,0.77,"Cloud Computing, Natural Language Processing, Power BI",EMP3986,FTE,Toronto
EMP10149,Customer Experience,Senior Analyst,0.1,75553,Meets,0.8,0.38,"Risk Assessment, Python",EMP6170,Contract,Vancouver
EMP10150,Sales & Distribution,Manager,26.3,114916,Meets,0.17,0.48,"Process Automation, Excel Advanced, Agile",EMP1783,Contract,Toronto
EMP10151,Technology,Senior Analyst,1.1,77059,Exceeds,0.69,0.32,"Change Management, Power BI, SQL, Financial Modelling, Excel Advanced",EMP9151,FTE,Calgary
EMP10152,Operations,Analyst,12.9,63394,Meets,0.22,0.64,"Stakeholder Communication, Process Automation, Strategic Planning, Python, Agile",EMP6372,FTE,Toronto
EMP10153,Compliance & Legal,Senior Analyst,2.4,97352,Exceeds,0.3,0.56,"Cloud Computing, Python, Excel Advanced, Agile",EMP6776,FTE,Vancouver
EMP10154,Human Resources,Senior Manager,2.9,168886,Developing,0.19,0.43,"Excel Advanced, Stakeholder Communication, Data Analysis, SQL, Process Automation",EMP8179,FTE,Toronto
EMP10155,Customer Experience,Senior Analyst,8.4,94025,Meets,0.12,0.73,"Project Management, Cloud Computing",EMP7077,FTE,Calgary
EMP10156,Compliance & Legal,Manager,3.0,104105,Meets,0.42,0.67,"Financial Modelling, Machine Learning, Data Analysis, Excel Advanced",EMP4048,FTE,Vancouver
EMP10157,Compliance & Legal,Analyst,3.0,56284,Meets,0.05,0.42,"Risk Assessment, Process Automation, Excel Advanced, Financial Modelling, Machine Learning",EMP3009,FTE,Toronto
EMP10158,Technology,Manager,0.3,113737,Top,1.0,0.44,"Excel Advanced, SQL, Compliance, Cloud Computing",EMP5757,Contract,Remote
EMP10159,Customer Experience,Director,8.9,208992,Meets,0.32,0.87,"Strategic Planning, Financial Modelling, Python, Machine Learning",EMP3275,FTE,Vancouver
EMP10160,Operations,Manager,5.5,119587,Meets,0.24,0.47,"SQL, Strategic Planning, Project Management",EMP7523,Contract,Montreal
EMP10161,Finance & Risk,Senior Manager,1.9,136162,Exceeds,0.69,0.73,"Project Management, Power BI",EMP2215,FTE,Montreal
EMP10162,Operations,Director,1.0,178374,Exceeds,0.53,0.83,"Project Management, Agile, Compliance",EMP1907,FTE,Vancouver
EMP10163,Operations,Analyst,12.4,56039,Top,0.69,0.65,"Excel Advanced, Process Automation, Agile",EMP2292,FTE,Montreal
EMP10164,Compliance & Legal,Analyst,7.6,56602,Meets,0.3,0.47,"Strategic Planning, Stakeholder Communication",EMP3526,FTE,Montreal
EMP10165,Sales & Distribution,Senior Analyst,4.6,88160,Top,0.27,0.42,"Data Analysis, SQL",EMP1744,Contract,Calgary
EMP10166,Operations,Analyst,7.0,68174,Meets,0.1,0.77,"Natural Language Processing, Process Automation",EMP5949,FTE,Calgary
EMP10167,Human Resources,Senior Analyst,25.2,99369,Developing,0.09,0.51,"Stakeholder Communication, Cloud Computing",EMP7809,FTE,Toronto
EMP10168,Compliance & Legal,Senior Analyst,5.8,93567,Exceeds,0.53,0.27,"Change Management, Project Management, Strategic Planning, Stakeholder Communication",EMP9437,FTE,Toronto
EMP10169,Finance & Risk,Analyst,0.2,72340,Meets,0.05,0.41,"Python, Process Automation",EMP7293,Contract,Vancouver
EMP10170,Sales & Distribution,Director,4.0,215618,Exceeds,0.15,0.71,"Risk Assessment, Stakeholder Communication, Financial Modelling, Compliance",EMP8648,FTE,Toronto
EMP10171,Technology,VP,0.6,291582,Meets,0.55,0.33,"Risk Assessment, Excel Advanced, Data Analysis",EMP1828,FTE,Montreal
EMP10172,Strategy & Analytics,Manager,3.3,112573,Meets,0.47,0.16,"Machine Learning, Agile",EMP3194,Contract,Montreal
EMP10173,Customer Experience,Senior Analyst,1.3,91418,Meets,0.83,0.39,"Excel Advanced, Process Automation, Python",EMP7329,FTE,Calgary
EMP10174,Operations,VP,0.3,236975,Exceeds,0.35,0.66,"Project Management, Machine Learning",EMP7453,FTE,Remote
EMP10175,Compliance & Legal,Senior Analyst,1.3,90428,Developing,0.19,0.55,"Strategic Planning, Python, Data Analysis, Cloud Computing, SQL",EMP6456,FTE,Vancouver
EMP10176,Technology,Director,2.9,212208,Developing,0.34,0.38,"Stakeholder Communication, Change Management, Process Automation, Excel Advanced",EMP5902,FTE,Vancouver
EMP10177,Finance & Risk,Senior Analyst,0.5,81743,Meets,0.55,0.59,"Data Analysis, Excel Advanced, Stakeholder Communication, Power BI, Python",EMP7824,FTE,Calgary
EMP10178,Customer Experience,Manager,12.2,111065,Low,0.09,0.62,"Compliance, Financial Modelling, Excel Advanced, Data Analysis, Process Automation",EMP8871,FTE,Montreal
EMP10179,Compliance & Legal,Senior Manager,3.3,152109,Developing,0.12,0.34,"Python, Machine Learning, Natural Language Processing",EMP1310,FTE,Vancouver
EMP10180,Finance & Risk,Analyst,5.0,74398,Meets,0.43,0.84,"Python, Project Management, Compliance, Machine Learning, Cloud Computing",EMP6325,Contract,Vancouver
EMP10181,Operations,VP,0.9,289262,Meets,0.22,0.67,"Excel Advanced, Compliance, Process Automation, Financial Modelling",EMP4150,Contract,Toronto
